timestamp,heart_rate,alpha_high,alpha_low,beta_high,beta_low,gamma_low,delta,theta,left_eye_open_prob,right_eye_open_prob,is_drowsy
1.58886E+12,66,10576,17750,9105,92723,9854,440668,16746684,0.190437555,0.012393415,0
1.58886E+12,66,10576,17750,9105,92723,9854,440668,16746684,0.947841465,0.945747733,0
1.58886E+12,66,10576,17750,9105,92723,9854,440668,16746684,0.986849785,0.900349259,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.993816435,0.996521115,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.994290888,0.988487542,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.986605704,0.995583117,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.984551072,0.995583117,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.989317417,0.997727633,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.928791761,0.992931128,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.948552251,0.987277389,0
1.58886E+12,66,5712,8059,8879,15809,8203,483813,36405,0.899734676,0.831079066,0
1.58886E+12,66,16575,1133,4461,6646,1957,71949,21837,0.671178579,0.644494295,0
1.58886E+12,66,16575,1133,4461,6646,1957,71949,21837,0.775982678,0.997430623,0
1.58886E+12,66,16575,1133,4461,6646,1957,71949,21837,0.997481346,0.997727633,0
1.58886E+12,66,16575,1133,4461,6646,1957,71949,21837,0.996592402,0.998886287,0
1.58886E+12,66,16575,1133,4461,6646,1957,71949,21837,0.997481346,0.995263815,0
1.58886E+12,66,16575,1133,4461,6646,1957,71949,21837,0.993337154,0.997430623,0
1.58886E+12,66,16575,1133,4461,6646,1957,71949,21837,0.994290888,0.632347822,0
1.58886E+12,66,967,2987,1726,2025,1053,18513,13391,0.994760513,0.602538824,0
1.58886E+12,66,967,2987,1726,2025,1053,18513,13391,0.991369486,0.935867131,0
1.58886E+12,66,967,2987,1726,2025,1053,18513,13391,0.992852867,0.971387029,0
1.58886E+12,66,967,2987,1726,2025,1053,18513,13391,0.988790572,0.935165048,0
1.58886E+12,66,967,2987,1726,2025,1053,18513,13391,0.986605704,0.936318815,0
1.58886E+12,66,967,2987,1726,2025,1053,18513,13391,0.994290888,0.906545162,0
1.58886E+12,66,967,2987,1726,2025,1053,18513,13391,0.992852867,0.984102368,0
1.58886E+12,68,1791,4831,5493,3274,3447,16221,11455,0.949387074,0.995899022,0
1.58886E+12,68,1791,4831,5493,3274,3447,16221,11455,0.989317417,0.997430623,0
1.58886E+12,68,1791,4831,5493,3274,3447,16221,11455,0.991869092,0.996827424,0
1.58886E+12,68,1791,4831,5493,3274,3447,16221,11455,0.992852867,0.996211708,0
1.58886E+12,68,1791,4831,5493,3274,3447,16221,11455,0.991869092,0.997727633,0
1.58886E+12,68,1791,4831,5493,3274,3447,16221,11455,0.991869092,0.551327765,0
1.58886E+12,68,1791,4831,5493,3274,3447,16221,11455,0.996141315,0.872311354,0
1.58886E+12,68,4686,5265,6937,5034,2125,51922,13535,0.996141315,0.945747733,0
1.58886E+12,68,4686,5265,6937,5034,2125,51922,13535,0.994290888,0.989270985,0
1.58886E+12,68,4686,5265,6937,5034,2125,51922,13535,0.044218361,0.002609372,0
1.58886E+12,70,4686,5265,6937,5034,2125,51922,13535,0.026467085,0.006523013,0
1.58886E+12,70,4686,5265,6937,5034,2125,51922,13535,0.951442361,0.024098217,0
1.58886E+12,70,4686,5265,6937,5034,2125,51922,13535,0.991869092,0.874541283,0
1.58886E+12,70,4686,5265,6937,5034,2125,51922,13535,0.994760513,0.995263815,0
1.58886E+12,70,4686,5265,6937,5034,2125,51922,13535,0.99522543,0.991152525,0
1.58886E+12,70,3763,5836,2447,9510,1732,133909,7775,0.992852867,0.988487542,0
1.58886E+12,70,3763,5836,2447,9510,1732,133909,7775,0.99522543,0.869524002,0
1.58886E+12,76,3763,5836,2447,9510,1732,133909,7775,0.992852867,0.996827424,0
1.58886E+12,76,3763,5836,2447,9510,1732,133909,7775,0.993816435,0.997430623,0
1.58886E+12,76,3763,5836,2447,9510,1732,133909,7775,0.992852867,0.996827424,0
1.58886E+12,76,3763,5836,2447,9510,1732,133909,7775,0.99703908,0.99860096,0
1.58886E+12,76,4506,5347,3059,3206,2580,13070,11821,0.992852867,0.996521115,0
1.58886E+12,76,4506,5347,3059,3206,2580,13070,11821,0.994760513,0.936973035,0
1.58886E+12,76,4506,5347,3059,3206,2580,13070,11821,0.992852867,0.936318815,0
1.58886E+12,76,4506,5347,3059,3206,2580,13070,11821,0.993816435,0.989270985,0
1.58886E+12,76,4506,5347,3059,3206,2580,13070,11821,0.986849785,0.988487542,0
1.58886E+12,76,4506,5347,3059,3206,2580,13070,11821,0.994290888,0.945747733,0
1.58886E+12,76,2269,2209,2859,1557,1327,41066,14754,0.994290888,0.996211708,0
1.58886E+12,76,2269,2209,2859,1557,1327,41066,14754,0.996141315,0.994285524,0
1.58886E+12,76,2269,2209,2859,1557,1327,41066,14754,0.996141315,0.996827424,0
1.58886E+12,76,2269,2209,2859,1557,1327,41066,14754,0.996141315,0.995263815,0
1.58886E+12,76,2269,2209,2859,1557,1327,41066,14754,0.99703908,0.990036488,0
1.58886E+12,76,2269,2209,2859,1557,1327,41066,14754,0.995685637,0.987277389,0
1.58886E+12,77,2269,2209,2859,1557,1327,41066,14754,0.994760513,0.994615078,0
1.58886E+12,77,2269,2209,2859,1557,1327,41066,14754,0.996141315,0.992931128,0
1.58886E+12,77,3896,1854,2954,845,664,1338,6340,0.992852867,0.997727633,0
1.58886E+12,77,3896,1854,2954,845,664,1338,6340,0.997481346,0.995263815,0
1.58886E+12,77,3896,1854,2954,845,664,1338,6340,0.996141315,0.994615078,0
1.58886E+12,77,3896,1854,2954,845,664,1338,6340,0.99703908,0.994941175,0
1.58886E+12,77,3896,1854,2954,845,664,1338,6340,0.997481346,0.992583215,0
1.58886E+12,76,3896,1854,2954,845,664,1338,6340,0.996141315,0.993275225,0
1.58886E+12,76,1475,956,1731,1573,474,3287,4692,0.997481346,0.992583215,0
1.58886E+12,76,1475,956,1731,1573,474,3287,4692,0.996141315,0.994285524,0
1.58886E+12,76,1475,956,1731,1573,474,3287,4692,0.994760513,0.993615627,0
1.58886E+12,76,1475,956,1731,1573,474,3287,4692,0.995685637,0.994941175,0
1.58886E+12,76,1475,956,1731,1573,474,3287,4692,0.996141315,0.93820405,0
1.58886E+12,76,1475,956,1731,1573,474,3287,4692,0.991869092,0.994285524,0
1.58886E+12,76,860,4627,2393,1080,1590,1732,1931,0.991869092,0.988487542,0
1.58886E+12,76,860,4627,2393,1080,1590,1732,1931,0.994760513,0.990784705,0
1.58886E+12,76,860,4627,2393,1080,1590,1732,1931,0.994760513,0.996827424,0
1.58886E+12,76,860,4627,2393,1080,1590,1732,1931,0.997481346,0.997727633,0
1.58886E+12,76,860,4627,2393,1080,1590,1732,1931,0.995685637,0.997130573,0
1.58886E+12,76,860,4627,2393,1080,1590,1732,1931,0.99522543,0.990412712,0
1.58886E+12,76,860,4627,2393,1080,1590,1732,1931,0.994760513,0.992583215,0
1.58886E+12,76,431,12615,2003,7065,681,5496,11168,0.994760513,0.993615627,0
1.58886E+12,76,431,12615,2003,7065,681,5496,11168,0.785611391,0.367976069,0
1.58886E+12,76,431,12615,2003,7065,681,5496,11168,0.899734676,0.116800189,0
1.58886E+12,76,431,12615,2003,7065,681,5496,11168,0.562761188,0.024560452,0
1.58886E+12,76,431,12615,2003,7065,681,5496,11168,0.826471567,0.261938989,0
1.58886E+12,76,5332,4946,3084,4336,3258,12774,11801,0.755064666,0.873426318,0
1.58886E+12,76,5332,4946,3084,4336,3258,12774,11801,0.899734676,0.733778119,0
1.58886E+12,76,5332,4946,3084,4336,3258,12774,11801,0.623302937,0.831079066,0
1.58886E+12,76,5332,4946,3084,4336,3258,12774,11801,0.795291305,0.867294073,0
1.58886E+12,76,5332,4946,3084,4336,3258,12774,11801,0.993816435,0.997430623,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.990354359,0.996211708,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.994290888,0.995583117,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.991369486,0.996827424,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.993337154,0.994615078,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.994290888,0.996211708,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.992852867,0.995899022,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.949387074,0.012393415,0
1.58886E+12,76,6648,8493,2569,6957,5067,16755448,22070,0.960664392,0.021787047,0
1.58886E+12,76,18673,6506,4963,16212,3368,1734399,16765546,0.623302937,0.024560452,0
1.58886E+12,76,18673,6506,4963,16212,3368,1734399,16765546,0.74667716,0.268494725,0
1.58886E+12,76,18673,6506,4963,16212,3368,1734399,16765546,0.948893309,0.240354359,0
1.58886E+12,76,18673,6506,4963,16212,3368,1734399,16765546,0.972050667,0.166799009,0
1.58886E+12,76,18673,6506,4963,16212,3368,1734399,16765546,0.983167171,0.023173749,0
1.58886E+12,76,18673,6506,4963,16212,3368,1734399,16765546,0.928791761,0.006523013,0
1.58886E+12,76,18673,6506,4963,16212,3368,1734399,16765546,0.93704474,0.010436594,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.623302937,0.010436594,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.640299201,0.010436594,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.581686139,0.021787047,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.469446242,0.086126685,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.539412498,0.02548486,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.601551354,0.056641757,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.111815929,0.023635983,0
1.58886E+12,76,2807,703,1595,2664,484,26077,23909,0.031943142,0.02548486,0
1.58886E+12,76,7239,13874,5361,6005,7060,458052,44008,0.055392742,0.50434345,0
1.58886E+12,76,7239,13874,5361,6005,7060,458052,44008,0.087391436,0.632347822,0
1.58886E+12,76,7239,13874,5361,6005,7060,458052,44008,0.074978769,0.166799009,0
1.58886E+12,76,7239,13874,5361,6005,7060,458052,44008,0.143560946,0.279623687,0
1.58886E+12,76,7239,13874,5361,6005,7060,458052,44008,0.038778663,0.221268475,0
1.58886E+12,76,7239,13874,5361,6005,7060,458052,44008,0.047672689,0.126446843,0
1.58886E+12,76,7181,955,3260,15027,2162,290071,38702,0.158233106,0.023635983,0
1.58886E+12,77,7181,955,3260,15027,2162,290071,38702,0.056715727,0.025022626,0
1.58886E+12,77,7181,955,3260,15027,2162,290071,38702,0.136162102,0.022711515,0
1.58886E+12,77,7181,955,3260,15027,2162,290071,38702,0.140735447,0.021324873,0
1.58886E+12,77,7181,955,3260,15027,2162,290071,38702,0.081471443,0.010436594,0
1.58886E+12,77,7181,955,3260,15027,2162,290071,38702,0.038778663,0.008479774,0
